Product Name,Brand,Category,Item Number,Pack Size,Minimum Order Qty,Barcode
RICE CALROSE KAEDE 50LB 25,SK,CALROSE,#01218A,22.7 KG,1,074410011161
RICE SHIRAKIKU CALROSE 15LB 25,SK,CALROSE,#01035A,15 LB,1,074410010355
RICE SHIRAKIKU CALROSE 40LB 25,SK,CALROSE,#01113A,18.1 KG,1,074410011130
RICE SHIRAKIKU CALROSE 40LB 25 (CANADA),SK,CALROSE,#01113D,40 LB,1,074410011130
RICE SHIRAKIKU CALROSE 5LB 25,SK,CALROSE,#01006A,8/ 2.2 KG,8,074410603069
RICE SHIRAKIKU SELECT 40LB 25,SK,CALROSE,#03113A,40 LB,,074410031138
RICE HIKARI 20KG 25,SK,MEDIUM GRAIN,#01101A,20 KG,1, 
RICE SEKKA 4.4LB 25,SK,MEDIUM GRAIN,#01149A,8/ 4.4 LB,8,074410011499
RICE SEKKA SELECT 15LB 25 (CANADA),WAF,MEDIUM GRAIN,#03063D,15 LB,1,074410030636
RICE SEKKA SELECT 40LB 22 (CANADA),WAF,MEDIUM GRAIN,#02901,40 LB,1,074410029012
RICE SEKKA SELECT 40LB 25 (CANADA),WAF,MEDIUM GRAIN,#02901D,40 LB,1,074410029012
RICE AKITA OTOME SG 15LB 25,SK,SHORT GRAIN,#01251A,6.8 KG,1,074410012519
RICE HITOMEBORE PREMIUM SG 50LB 25,SK,SHORT GRAIN,#01123A,22.7 KG,1,074410011239
RICE HITOMEBORE SG 15LB 25,SK,SHORT GRAIN,#01252A,6.8 KG,1,074410012526
RICE HITOMEBORE SG 4.4LB 25,SK,SHORT GRAIN,#01018A,8/ 2 KG,8,074410010188
RICE HOKKAIDO KIRARA 11LB SK,SK,SHORT GRAIN,#03587,5 KG,1,074410035877
RICE HOKKAIDO KIRARA 22LB SK,SK,SHORT GRAIN,#03588,10 KG,1,074410035884
RICE HOKKAIDO NANATSUBOSHI 11LB SK,SK,SHORT GRAIN,#03581,5 KG,1,074410035815
RICE HOKKAIDO NANATSUBOSHI 22LB SK,SK,SHORT GRAIN,#03582,10 KG,1,074410035822
RICE HOKKAIDO NANATSUBOSHI 4.4LB SK,SK,SHORT GRAIN,#03580,2 KG,1,074410035808
RICE JAPAN AICHINOKAORI 22LB SG MEISHOKU,NAGOYA SHOKURYO,SHORT GRAIN,#05687,10 KG,1,074410056872
RICE KOSHIHIKARI (AU) 40LB,,SHORT GRAIN,#01468,40 LB,,
RICE KOSHIHIKARI PREMIUM SG 50LB 25,SK,SHORT GRAIN,#01189A,22.7 KG,1,074410011895
RICE KOSHIHIKARI SG 15LB 25,SK,SHORT GRAIN,#01250A,6.8 KG,1,074410012502
RICE KOSHIHIKARI SG 4.4LB 25,SK,SHORT GRAIN,#01283A,8/ 2 KG,8,074410012830
RICE SNOW FLAKE MILKYQUEEN 15LB 24,SK,SHORT GRAIN,#01127,6.8 KG,1,074410011277
RICE SNOW FLAKE MILKYQUEEN 4.4LB 24,SK,SHORT GRAIN,#01193,8/ 4.4 LB,8,835143000736
RICE TAIWAN KATSU SUSHI RICE 40LB SK,SK,SHORT GRAIN,#03142,40 LB,1,074410031428
RICE BROWN GENJI 4.4LB 25,GENJI,BROWN RICE,#01069A,8/ 4.4 LB,8,816682000371
RICE BROWN HEALTHY MIX 15LB,SK,BROWN RICE,#01287,15 LB,1,074410012878
RICE BROWN SEKKA 15LB 25,SK,BROWN RICE,#01020A,15 LB,1,074410010201
RICE BROWN SK 15LB 25,SK,BROWN RICE,#01150A,15 LB,1,074410011505
RICE BROWN SK 5LB 22,SK,BROWN RICE,#01019,8/ 5 LB,8,074410010195
RICE BROWN SUKOYAKA GENMAI 15LB 25,SK,BROWN RICE,#01077A,6.8 KG,1,074410010775
RICE BROWN SUKOYAKA GENMAI 4.4LB 25,SK,BROWN RICE,#01282A,8/ 2 KG,8,074410012823
RICE BROWN SWEET SK 15LB 25,SK,SWEET RICE,#01295A,15 LB,1,074410012953
RICE SWEET KODA 10LB CAN 25,KODA,SWEET RICE,#01043D,6/ 10 LB,6,074823001131
RICE SWEET KODA 5LB CAN 25,KODA,SWEET RICE,#01044D,12/ 5 LB,12,074823001145
RICE SWEET SHIRAKIKU 15LB 25,SK,SWEET RICE,#01343A,15 LB,1,074410013431
RICE SWEET SHIRAKIKU POLY 5LB 25,SK,SWEET RICE,#01037A,6/ 2.2 KG,6,074410010379
RICE COOKED ICHIZENDAKI GOMOKUGOHAN,KOHNAN SHOKURYO BR.,COOKED RICE,#37734,18/ 180 G,18,
RICE COOKED JUROKKOKUGAYU KOHNAN SHOKURY,KOHNAN SHOKURYO BR.,COOKED RICE,#37738,12/ 250 G,12,
RICE COOKED MUKIN GOHAN 3PC SK,SK,COOKED RICE,#62513,8/ 600 G,8,074410625139
RICE COOKED MUKIN GOHAN SEKKA GOLD,SK,COOKED RICE,#03132,12/ 7.4 OZ,12,074410031329
RICE COOKED ORGANIC JASMINE SK(XXXXXXXX),SK,COOKED RICE,#62548,10/ 7.05 OZ,10,074410625481
RICE COOKED SHIROGAYU KOHNAN SHOKURYO,KOHNAN SHOKURYO BR.,COOKED RICE,#37736,12/ 250 G,12,
RICE COOKED UMEGAYU KOHNAN SHOKURYO,KOHNAN SHOKURYO BR.,COOKED RICE,#37737,12/ 250 G,12,
RICE COOKED WHITE MUKIN GOHAN (CAN) SK,SK,COOKED RICE,#35259C,12/ 7.4 OZ,12,074410352592
RICE COOKED WHITE MUKIN GOHAN SK,SK,COOKED RICE,#35259,12/ 7.4 OZ,12,074410352592
RICE CAKE AGEMOCHI SHOYU 5P KEIOSANGYO F,,RICE CAKE,#63547,3/ 12/ 11.46 OZ,1,
RICE CAKE KAGAMI KIRIMOCHI GOKUSHOU SATO,SATO FOODS,RICE CAKE,#36984,24/ 5.29 OZ,1,074410369842
RICE CAKE KINETSUKI MOCHI SATO,SATO FOODS,RICE CAKE,#68157,12/ 19.4 OZ,12,074410681579
RICE CAKE KOREAN STYLE 600G F,SK,RICE CAKE,#01320,25/ 600 G,25,
RICE CAKE MARUDE TSUKITATE KIRIMOCHII EC,ECHIGO,RICE CAKE,#67200,10/ 24.69 OZ,10,074410672003
RICE CAKE NAMA ICHIBAN MARUMOCHI 350G,ECHIGO,RICE CAKE,#67996,20/ 12.34 OZ,20,074410679965
RICE CAKE NAMA KIRIMOCHI 28OZ ECHIGO,ECHIGO,RICE CAKE,#67844,10/ 800 G,10,074410678449
RICE CAKE NAMA KIRIMOCHI 400G ECHIGO,ECHIGO,RICE CAKE,#67843,20/ 400 G,20,074410678432
